stride,total_pairs,ok_pairs,failed_pairs,good_pairs,medium_pairs,weak_pairs,ok_ratio,good_ratio,median_good_matches,median_inliers,median_inlier_ratio,mean_runtime_s,total_runtime_s,median_reference_distance_m,max_reference_distance_m
1,999,999,0,999,0,0,1.0,1.0,1485.0,1463.0,0.9924242424242424,0.11040128062286221,110.29087934223935,0.0,0.35526672584712105
2,998,998,0,998,0,0,1.0,1.0,1410.5,1364.5,0.984666447224051,0.09239993516945937,92.21513529912045,0.0,0.35526672584712105
3,997,997,0,997,0,0,1.0,1.0,1362.0,1305.0,0.9735376044568245,0.08825154690095995,87.98679226025706,0.0,0.35526672584712105
5,995,995,0,995,0,0,1.0,1.0,1301.0,1207.0,0.943609022556391,0.08878991084209006,88.34596128787962,0.0859514159379022,0.35526672584712105
10,990,990,0,990,0,0,1.0,1.0,1190.0,1079.0,0.916494015954624,0.08749234720403411,86.61742373199377,0.14550219760806007,0.5465294087334226
