stride,total_pairs,ok_pairs,failed_pairs,good_pairs,medium_pairs,weak_pairs,ok_ratio,good_ratio,median_good_matches,median_inliers,median_inlier_ratio,mean_runtime_s,total_runtime_s,median_reference_distance_m,max_reference_distance_m
1,1000,1000,0,1000,0,0,1.0,1.0,1484.0,1448.0,0.9894840333898355,0.11408627703669481,114.08627703669481,0.0,0.2898381090945149
2,999,999,0,999,0,0,1.0,1.0,1399.0,1339.0,0.9760928961748634,0.08894328214735067,88.85433886520332,0.0,0.2898381090945149
3,998,998,0,998,0,0,1.0,1.0,1343.0,1245.0,0.9634960341856528,0.08851484341593202,88.33781372910016,0.0,0.2898381090945149
5,996,996,0,996,0,0,1.0,1.0,1239.5,1129.5,0.9410819771505625,0.08957555958347282,89.21725734513893,0.10979678789203397,0.2898381090945149
10,991,991,0,991,0,0,1.0,1.0,1033.0,907.0,0.8924302788844621,0.08772496894445654,86.93544422395644,0.19834513549301086,0.538763660683536
