stride,total_pairs,ok_pairs,failed_pairs,good_pairs,medium_pairs,weak_pairs,ok_ratio,good_ratio,median_good_matches,median_inliers,median_inlier_ratio,mean_runtime_s,total_runtime_s,median_reference_distance_m,max_reference_distance_m
1,1000,1000,0,1000,0,0,1.0,1.0,1481.0,1454.0,0.9888194660714904,0.1006306457080791,100.6306457080791,0.0,1.0842233228908946
2,999,999,0,999,0,0,1.0,1.0,1377.0,1331.0,0.9793300071275838,0.08804833510075114,87.96028676565038,0.0,1.0842233228908946
3,998,998,0,998,0,0,1.0,1.0,1300.0,1235.0,0.9624170148986257,0.08833728219460153,88.16060763021233,0.0,1.0842233228908946
5,996,996,0,996,0,0,1.0,1.0,1182.5,1077.0,0.9263487945553364,0.08649288195361389,86.14691042579943,0.16687405912921033,1.0842233228908946
10,991,991,0,991,0,0,1.0,1.0,982.0,788.0,0.8283062645011601,0.08673082157399087,85.95024417982495,0.29543418322746096,2.1285240064198994
