stride,total_pairs,ok_pairs,failed_pairs,good_pairs,medium_pairs,weak_pairs,ok_ratio,good_ratio,median_good_matches,median_inliers,median_inlier_ratio,mean_runtime_s,total_runtime_s,median_reference_distance_m,max_reference_distance_m
1,1000,1000,0,1000,0,0,1.0,1.0,1481.0,1448.0,0.9876703439325114,0.10086108174483524,100.86108174483525,0.0,0.8321988894098219
2,999,999,0,999,0,0,1.0,1.0,1425.0,1378.0,0.9790257104194858,0.09064144009609301,90.55079865599691,0.0,0.8321988894098219
3,998,998,0,998,0,0,1.0,1.0,1373.0,1306.0,0.9588026542578298,0.08871942976169638,88.54199090217298,0.0075478384892772605,0.8321988894098219
5,996,996,0,996,0,0,1.0,1.0,1294.0,1179.0,0.9198468453055608,0.08948444694674637,89.12650915895938,0.23816934316010807,0.8321988894098219
10,991,991,0,991,0,0,1.0,1.0,1121.0,924.0,0.8316445830085737,0.0890680197476428,88.26640756991401,0.47311199119213027,1.5992722400841974
