available_event_count,anchor_start_event_index,anchor_end_event_index,anchor_start_frame,anchor_end_frame,anchor_start_token,anchor_end_token,visual_separation_px,map_separation_m,scale_m_per_px,rotation_deg,translation_x_m,translation_y_m,median_prefix_residual_m,p95_prefix_residual_m,max_prefix_residual_m,anchor_start_true_eval_only,anchor_end_true_eval_only,prefix_inliers_r40,prefix_inlier_rate_r40,prefix_true_inliers_r40_eval_only,prefix_inliers_r60,prefix_inlier_rate_r60,prefix_true_inliers_r60_eval_only,prefix_inliers_r80,prefix_inlier_rate_r80,prefix_true_inliers_r80_eval_only
23,8,22,195,690,196,691,4406.854675045182,1333.3580671599361,0.30256456486082456,5.2837851427076155,70.65302847249609,38.93684363415781,72.51366361596092,239.8750630171955,308.0219744258636,True,True,9,0.391304347826087,9,9,0.391304347826087,9,12,0.5217391304347826,10
24,5,23,180,745,181,746,4567.611821803777,1246.3496870746005,0.27286681436567645,8.288415667867259,6.725666708585209,126.94997255220738,120.89149656491311,408.24746456448963,444.29499561747394,True,False,9,0.375,8,9,0.375,8,9,0.375,8
25,2,24,78,750,79,751,5666.642102740224,1435.3256470231347,0.2532938592202696,2.393400280193535,-33.397900024985354,100.50541939510026,78.92671695097503,451.2699781671777,461.6007779607778,True,True,3,0.12,3,11,0.44,10,13,0.52,11
26,3,25,80,755,81,756,5774.4308271250375,1477.8201052227362,0.2559248087760903,2.93714092628085,-25.040074158953654,92.10339033699131,64.50692233651705,434.3483582923688,451.22247239896564,True,True,4,0.15384615384615385,4,13,0.5,12,14,0.5384615384615384,12
27,17,26,515,759,516,760,3839.682885919953,1205.5917637263335,0.3139821176762322,-14.974709437620003,325.5861368497953,84.35540840296963,83.91379953353012,620.5981344531338,638.1019015895964,True,True,4,0.14814814814814814,3,11,0.4074074074074074,8,12,0.4444444444444444,9
28,5,27,180,760,181,761,4465.048056287472,1145.3948811132148,0.2565246480382945,7.375186406286685,-46.26913243172385,137.30861275482118,89.09473712318382,481.9782406345444,506.1134359529291,True,True,11,0.39285714285714285,11,12,0.42857142857142855,12,13,0.4642857142857143,12
29,20,28,555,800,556,801,4119.496678604211,1297.5271996102858,0.31497226502192993,-13.127673639685607,284.51042784275137,80.70341187277461,68.63451972648748,549.667894446403,573.0515879099527,True,True,7,0.2413793103448276,7,12,0.41379310344827586,10,16,0.5517241379310345,12
30,17,29,515,805,516,806,3943.1841312710435,1201.8836785297071,0.3048002929912108,345.9115786100236,334.08071677532166,69.085057975394,85.4907355067669,594.3372340146225,620.3886434855347,True,False,6,0.2,4,10,0.3333333333333333,6,15,0.5,10
31,20,30,555,845,556,846,4091.2654467690504,1276.324998475805,0.3119633802993015,349.2377637823419,294.60921151994233,62.5997186571289,75.50289756338451,511.29032017221476,542.6282307551778,True,True,5,0.16129032258064516,5,11,0.3548387096774194,8,16,0.5161290322580645,11
32,21,31,660,900,661,901,2053.1003812546064,628.3632739809822,0.306055797231406,-12.094996013327334,263.8864661616827,57.296575014946455,82.89820419946653,490.4606339838195,523.1068027383839,True,True,8,0.25,7,13,0.40625,11,15,0.46875,12
33,16,32,505,1005,506,1006,2291.1333867273474,741.9173704017679,0.32382111609028663,-14.526211317549905,354.0182737028477,105.80706568459675,119.76083238554882,643.9561123628987,678.2685942180159,False,False,9,0.2727272727272727,5,12,0.36363636363636365,7,13,0.3939393939393939,8
