policy,windows,median_window_rmse_m,p90_window_rmse_m,worst_window_rmse_m,median_window_failure_rate_gt40m,windows_better_than_raw_hard,windows_equal_to_raw_hard,windows_worse_than_raw_hard,median_window_rmse_delta_vs_raw_hard_m,maximum_window_improvement_vs_raw_hard_m,maximum_window_worsening_vs_raw_hard_m
raw_bootstrap_balanced_hard_online,18,84.44399475890998,194.13045602564884,299.2462546442648,0.8554006968641115,2,3,14,11.547599125755298,56.480740299565596,154.60600210951176
raw_bootstrap_hybrid_r60_b100_t050_online,18,73.95049932693682,121.55661985065382,205.8550666528068,0.8149350649350648,8,3,8,0.0,22.995356779167594,61.214814118053766
raw_bootstrap_hybrid_r60_b100_t075_online,18,65.99460881333614,122.59531959034427,173.02129009846018,0.8603896103896104,7,3,9,1.0658141036401503e-14,10.396574960159754,28.38103756370714
raw_bootstrap_hybrid_r60_hard_online,18,59.735195090300365,125.71429207839222,144.64025253475305,0.8044397463002114,0,18,0,0.0,-0.0,0.0
raw_bootstrap_relative_only,18,227.17401602657168,379.9504254802667,397.9376562295768,1.0,0,0,18,163.74340445631736,-5.63781386987614,341.6329394833603
