policy,correction_alpha_source,events,true_events_eval_only,false_events_eval_only,precision_eval_only,mean_alpha,median_absolute_innovation_m,median_position_shift_applied_m,events_improving_error,events_worsening_error,median_error_improvement_m,median_true_improvement_m_eval_only,median_false_improvement_m_eval_only
hybrid_r60_hard_reset_online,initialization_hard,1,1,0,1.0,1.0,32.07508475804932,32.07508475804932,0,1,-29.579639303575856,-29.579639303575856,
hybrid_r60_hard_reset_online,hard_reset,71,49,22,0.6901408450704225,1.0,36.02413613166425,36.02413613166425,43,28,5.725082141238087,9.532546439091274,-5.948457104410558
hybrid_r60_adaptive_b100_t050_online,initialization_hard,1,1,0,1.0,1.0,32.07508475804932,32.07508475804932,0,1,-29.579639303575856,-29.579639303575856,
hybrid_r60_adaptive_b100_t050_online,temporal_only_support,39,25,14,0.6410256410256411,0.5,43.91931057062887,21.959655285314437,27,12,10.14669682452406,14.01949337906776,-7.142384688642116
hybrid_r60_adaptive_b100_t050_online,balanced_confidence,32,24,8,0.75,1.0,46.055872662549426,46.055872662549426,22,10,4.088142484103628,8.103574606126447,-4.593446970836332
hybrid_r60_adaptive_b100_t075_online,initialization_hard,1,1,0,1.0,1.0,32.07508475804932,32.07508475804932,0,1,-29.579639303575856,-29.579639303575856,
hybrid_r60_adaptive_b100_t075_online,temporal_only_support,39,25,14,0.6410256410256411,0.75,39.71397292255994,29.785479691919956,22,17,9.221814252875827,15.201573377852824,-10.339779751535527
hybrid_r60_adaptive_b100_t075_online,balanced_confidence,32,24,8,0.75,1.0,42.49636036503151,42.49636036503151,23,9,4.942404083582979,5.1678381382424075,4.942404083582979
