policy,policy_type,event_index,correction_role,sequence_frame_id,token,tile_id,reference_cumulative_distance_m,gap_since_previous_event_m,baseline_x_m,baseline_y_m,pre_correction_x_m,pre_correction_y_m,pre_correction_error_m,absolute_fix_x_m,absolute_fix_y_m,post_correction_x_m,post_correction_y_m,post_correction_error_m,manifest_fix_error_m_eval_only,fix_error_consistency_delta_m,position_shift_applied_m,error_improvement_m,error_worsened,correction_true_eval_only,correction_false_eval_only,correction_dangerous_false_gt100m_eval_only,offset_before_x_m,offset_before_y_m,offset_after_x_m,offset_after_y_m
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,0,initialization,0,1,3545,0.0,0.0,-1.359850087417669,-0.4660028431250111,-1.359850087417669,-0.4660028431250111,1.4374807511930154,-6.767451161635108,-13.430098543409258,-6.767451161635108,-13.430098543409258,15.038814518132732,15.072437260721763,0.03362274258903142,14.046705190328659,-13.601333766939716,True,True,False,False,0.0,0.0,-5.407601074217439,-12.964095700284247
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,1,relocalization,5,6,3545,11.737876502062866,11.737876502062866,-2.290180575102704,10.791856415869864,-7.697781649320143,-2.172239284414383,14.809682148532108,-6.767451161635108,-13.430098543409258,-6.767451161635108,-13.43009854340926,25.09728167850475,25.173257925336667,0.0759762468319174,11.296234324395583,-10.287599529972642,True,True,False,False,-5.407601074217439,-12.964095700284247,-4.477270586532404,-24.221954959279124
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,2,relocalization,10,11,3420,54.64278341865671,42.904906916593845,-2.732780360875151,53.01944343508369,-7.210050947407555,28.797488475804563,25.45558277543819,-7.290479287155904,21.367446025833488,-7.290479287155904,21.367446025833488,32.80080137832537,32.90649485062182,0.10569347229645132,7.430477745488971,-7.345218602887176,True,True,False,False,-4.477270586532404,-24.221954959279124,-4.557698926280753,-31.6519974092502
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,3,relocalization,25,26,2671,220.3799579346575,165.7371745160008,8.163769234731044,220.7126190118628,3.606070308450291,189.06062160261263,30.11375047158407,24.54326320567634,230.6784807601944,24.54326320567634,230.6784807601944,21.22974247971018,21.222233130034205,0.007509349675974164,46.58768342894896,8.88400799187389,False,True,False,False,-4.557698926280753,-31.6519974092502,16.379493970945298,9.965861748331577
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,4,relocalization,30,31,2546,276.7436757733336,56.36371783867611,16.733114148634126,276.69653941433745,33.11260811957942,286.662401162669,20.635207584841762,24.020094828563742,265.4760392168537,24.020094828563742,265.4760392168537,11.72853454999116,11.743486859912798,0.014952309921637763,23.055058673670505,8.906673034850602,False,True,False,False,16.379493970945298,9.965861748331577,7.286980679929616,-11.220500197483773
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,5,relocalization,35,36,2296,335.5411407227439,58.797464949410255,17.468665985366954,334.1951156746408,24.75564666529657,322.97461547715704,12.30259463402566,22.973742033238523,335.0711604501121,22.973742033238523,335.0711604501121,5.357451765981062,5.3505473202788245,0.006904445702237361,12.227084051419354,6.945142868044598,False,True,False,False,7.286980679929616,-11.220500197483773,5.505076047871569,0.8760447754712573
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,6,relocalization,39,40,2171,383.5292662314617,47.988125508717815,16.80587215055637,381.09260766071566,22.31094819842794,381.9686524361869,4.949477032072195,22.45055761514232,369.8687232285738,22.45055761514232,369.8687232285738,12.401796886859742,12.433470076196253,0.03167318933651053,12.10073459003561,-7.4523198547875475,True,True,False,False,5.505076047871569,0.8760447754712573,5.644685464585947,-11.223884432141858
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,7,relocalization,40,41,2171,395.49859310760905,11.969326876147363,16.660905753606247,392.8519682815633,22.305591218192195,381.62808384942144,12.568678175935068,22.45055761514232,369.8687232285738,22.45055761514232,369.8687232285738,23.859086646543542,23.93413529514438,0.07504864860083771,11.760254141275476,-11.290408470608474,True,True,False,False,5.644685464585947,-11.223884432141858,5.789651861536072,-22.983245052989503
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,8,relocalization,45,46,1921,458.5574763660672,63.05888325845814,15.757647978296326,454.6695998377597,21.547299839832398,431.6863547847702,25.09364921580735,21.40417273784988,439.46385310497135,21.40417273784988,439.46385310497135,17.521943377500712,17.573676838494016,0.05173346099330445,7.778815172508859,7.571705838306638,False,True,False,False,5.789651861536072,-22.983245052989503,5.646524759553554,-15.205746732788327
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,9,relocalization,49,50,1796,508.7616222039138,50.204145837846625,15.301928968022716,504.8392448678336,20.948453727576272,489.6334981350453,17.72610637501365,20.880972278886475,474.2614202033728,20.880972278886475,474.2614202033728,32.64556786497675,32.750780158481554,0.1052122935048061,15.37222604840723,-14.919461489963098,True,True,False,False,5.646524759553554,-15.205746732788327,5.579043310863758,-30.57782466446082
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,10,relocalization,55,56,1546,583.9056175120653,75.14399530815149,14.801693637307777,577.9766574374977,20.380736948171535,547.3988327730369,34.87490769906203,19.83455531997606,543.8565587215126,19.83455531997606,543.8565587215126,38.25077502786657,38.37405213659071,0.12327710872414599,3.584134459961171,-3.3758673288045387,True,True,False,False,5.579043310863758,-30.57782466446082,5.032861682668285,-34.12009871598514
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,11,relocalization,78,79,545,844.4569724412229,260.5513549291576,19.38182692760224,843.5890073743221,24.414688610270524,809.468908658337,36.277884697483046,-19.321601661504246,821.7113686478697,-19.321601661504246,821.7113686478697,34.39991683326031,34.39601604526073,0.0039007879995835992,45.41740760250687,1.8779678642227324,False,True,False,False,5.032861682668285,-34.12009871598514,-38.70342858910649,-21.87763872645246
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,12,relocalization,80,81,545,847.3137521681801,2.8567797269572566,17.555914918867117,844.5525433702586,-21.14751367023937,822.6749046438061,34.072768981781465,-19.321601661504246,821.7113686478697,-19.321601661504246,821.7113686478697,33.21907280485133,33.224451813680055,0.005379008828725773,2.0645474756247224,0.8536961769301357,False,True,False,False,-38.70342858910649,-21.87763872645246,-36.87751658037136,-22.841174722388928
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,13,relocalization,100,101,540,1066.5489001062754,219.23514793809522,-205.9783669067029,846.4150802111085,-242.85588348707427,823.5739054887196,33.492946703746576,-194.1729206891032,819.0839101858437,-194.1729206891032,819.0839101858437,26.828129460140964,26.85274048842789,0.02461102828692674,48.88957889579826,6.6648172436056115,False,True,False,False,-36.87751658037136,-22.841174722388928,11.805446217599695,-27.331170025264782
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,14,relocalization,110,111,537,1186.5188215405103,119.96992143423495,-336.8904324851721,844.2698105552636,-325.0849862675724,816.9386405299988,19.53538024136361,-299.08366626501083,817.5086753894575,-299.08366626501083,817.5086753894575,37.88220339129428,37.855949002529584,0.026254388764698433,26.00756777587258,-18.34682314993067,True,True,False,False,11.805446217599695,-27.331170025264782,37.80676622016125,-26.76113516580608
oracle_position_reset_eval_only,candidate_pool_oracle_eval_only,15,relocalization,128,129,529,1401.9195601573342,215.4007386168239,-586.4883625303844,837.7256541366925,-548.6815963102231,810.9645189708864,18.958452937940173,-578.8454865706153,813.3125969446264,-578.8454865706153,813.3125969446264,34.96893708953633,34.942808561132146,0.026128528404186113,30.255144121483685,-16.01048415159616,True,True,False,False,37.80676622016125,-26.76113516580608,7.642875959769071,-24.41305719206605
