policy,lock_frame,lock_reference_distance_m_eval_only,post_lock_frames,post_lock_distance_m_eval_only,accepted,true_events_eval_only,false_events_eval_only,dangerous_false_events_gt100m_eval_only,precision_eval_only,mean_correction_alpha,median_event_improvement_m_eval_only,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,failure_rate_gt40m,final_error_per_100m_post_lock,rmse_m_reduction_vs_raw_relative_pct,p95_error_m_reduction_vs_raw_relative_pct,max_error_m_reduction_vs_raw_relative_pct,final_error_m_reduction_vs_raw_relative_pct,failure_rate_gt40m_reduction_vs_raw_relative_pct,windows,median_window_rmse_m,p90_window_rmse_m,worst_window_rmse_m,median_window_failure_rate_gt40m,windows_better_than_raw_hard,windows_equal_to_raw_hard,windows_worse_than_raw_hard,median_window_rmse_delta_vs_raw_hard_m,maximum_window_improvement_vs_raw_hard_m,maximum_window_worsening_vs_raw_hard_m,rmse_m_rank,p95_error_m_rank,max_error_m_rank,failure_rate_gt40m_rank,worst_window_rmse_m_rank,robust_rank_sum,is_performance_policy,is_robust_policy
raw_bootstrap_hybrid_r60_hard_online,200,1971.588930915444,834,8797.026787386687,50,35,15,0,0.7,1.0,6.963579628389179,82.55389577163625,69.37730055145947,56.29896578913135,164.92274929184612,205.31325204251957,64.70369956188233,0.7038369304556354,0.7355178189823804,68.78606092712225,59.16262571908667,50.595608637113465,73.25031774847946,27.35148514851485,18,59.735195090300365,125.71429207839222,144.64025253475305,0.8044397463002114,0,18,0,0.0,-0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,True,True
raw_bootstrap_hybrid_r60_b100_t075_online,200,1971.588930915444,834,8797.026787386687,50,35,15,0,0.7,0.865,9.59013238645355,84.99546662005409,71.20326222869183,58.8502825245113,170.86155713704636,196.70026789353915,64.70369956188236,0.7290167865707434,0.7355178189823808,67.86289378894809,57.69208681648994,52.66814528764805,73.25031774847946,24.75247524752475,18,65.99460881333614,122.59531959034427,173.02129009846018,0.8603896103896104,7,3,9,1.0658141036401503e-14,10.396574960159754,28.38103756370714,2.0,2.0,1.0,3.0,2.0,10.0,False,False
raw_bootstrap_hybrid_r60_b100_t050_online,200,1971.588930915444,834,8797.026787386687,50,35,15,0,0.7,0.73,11.009365185741412,91.10967878875012,75.26547902245888,61.7896411318164,183.4653650906044,229.7511099779947,64.70369956188233,0.7182254196642686,0.7355178189823804,65.55108712823933,54.57119279201924,44.71514312646634,73.25031774847946,25.86633663366337,18,73.95049932693682,121.55661985065382,205.8550666528068,0.8149350649350648,8,3,8,0.0,22.995356779167594,61.214814118053766,3.0,3.0,3.0,2.0,3.0,14.0,False,False
raw_bootstrap_balanced_hard_online,200,1971.588930915444,834,8797.026787386687,23,17,6,0,0.7391304347826086,1.0,11.46992800138051,123.44483598301063,97.92066371559572,73.6184922117958,274.97967584232543,325.6281894843896,64.70369956188233,0.7733812949640287,0.7355178189823804,53.32504234695416,31.9108613563935,21.6443052163856,73.25031774847946,20.173267326732677,18,84.44399475890998,194.13045602564884,299.2462546442648,0.8554006968641115,2,3,14,11.547599125755298,56.480740299565596,154.60600210951176,4.0,4.0,4.0,4.0,4.0,20.0,False,False
