available_event_count,anchor_end_frame,anchor_end_token,scale_m_per_px,rotation_wrapped_deg,translation_x_m,translation_y_m,prefix_inliers_r60,prefix_inlier_rate_r60,p95_prefix_residual_m,current_consensus_pass_online,stability_window_available,all_window_states_pass_online,scale_relative_span,rotation_spread_deg,scale_stability_pass_online,rotation_stability_pass_online,bootstrap_lock_pass_online
2,59,60,0.296778866351705,1.2708992682777023,28.20529212744441,-12.904388110153375,2,1.0,6.075140390748857e-14,False,False,False,,,False,False,False
3,78,79,0.3000915850879544,22.623659026535506,260.49492899929544,14.201805009643408,2,0.6666666666666666,210.4792367285627,False,False,False,,,False,False,False
4,80,81,0.2932236909143886,6.645368502562519,28.20529212744441,-12.904388110153375,4,1.0,50.4203645758609,False,True,False,0.023141452954493227,12.463766156325448,True,False,False
5,99,100,0.1948557486023784,3.6675290154887534,-17.810835528977634,266.79318315656326,3,0.6,246.13510028350305,False,True,False,0.3588926807292025,11.663687526768229,False,False,False
6,180,181,0.2992406687387672,0.8337397892305773,23.1714139457786,-17.88943465057912,4,0.6666666666666666,82.71625788744639,False,True,False,0.3559907448503732,2.9298433294153483,False,True,False
7,185,186,0.2719744833391086,1.813973944001475,-42.26651371270205,47.5083522603768,5,0.7142857142857143,88.52105655761028,False,True,False,0.3838040938797833,1.562477461698677,False,True,False
8,190,191,0.2712567385634327,1.515320902537951,-46.23049972722393,49.68125917937368,6,0.75,91.05972042922636,True,True,False,0.10289174863673897,0.5539399530057381,True,True,False
9,195,196,0.2985190348511909,1.3025192852576595,28.20529212744441,-12.904388110153375,7,0.7777777777777778,81.02384710132199,True,True,False,0.10023843396281595,0.2700359947853599,True,True,False
10,200,201,0.2706906425192868,1.6706133353444272,-44.08613051508925,51.22248744629201,8,0.8,88.72652312555563,True,True,True,0.10259060283361955,0.19363192199983814,True,True,True
11,205,206,0.2693264725344229,1.1685329666786117,-50.67802913553174,55.35078334709965,9,0.8181818181818182,92.59670068385893,True,True,True,0.10784474130718447,0.29005838323433863,True,True,True
12,210,211,0.2985948405659604,0.7787163675513114,28.20529212744441,-12.904388110153375,10,0.8333333333333334,88.4130981493653,True,True,True,0.10812478687530602,0.4646594893190752,True,True,True
13,215,216,0.2695996161839958,2.2178678873288504,-36.65572169080177,54.12738957156262,11,0.8461538461538461,83.66388252498743,True,True,True,0.10856235051745224,0.8295011246536035,True,True,True
14,480,481,0.3348143756821115,2.3965080087920114,135.01324976390367,-41.057803587971534,9,0.6428571428571429,194.30854089980664,False,True,False,0.2184055135531036,1.0189940706638083,False,True,False
15,481,482,0.3359279282438663,2.296481902491564,136.78626597432776,-50.45101772929263,10,0.6666666666666666,194.52578262016664,False,True,False,0.19810473168824064,0.09288874547419823,False,True,False
16,485,486,0.3389088438481306,1.80951406361919,146.5609809224444,-55.707255932971975,11,0.6875,212.16941254247055,False,True,False,0.012188531591951273,0.3579877981907771,True,True,False
17,505,506,0.3508568594795435,3.9476780990015357,197.3196403972061,-36.48904454292807,9,0.5294117647058824,251.15040780085195,False,True,False,0.04404999015713802,1.263141856223001,True,True,False
18,515,516,0.351848332741575,3.2060150889293766,193.98579287874557,-50.48534950375017,10,0.5555555555555556,253.1615831808002,False,True,False,0.036879680541628,1.1782342219818815,True,True,False
19,520,521,0.3415354629380554,2.2624414890385083,155.46747144982453,-35.89363774161467,13,0.6842105263157895,226.01604112244405,False,True,False,0.029393382300741004,0.8762724922821405,True,True,False
20,525,526,0.3452110836638579,2.014990598873851,162.59420006515768,-56.240329661298006,14,0.7,231.24373074441743,False,True,False,0.029874098172240404,0.7115367160109258,True,True,False
