policy,policy_type,frames,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,final_drift_per_100m,failure_rate_gt40m,failure_rate_gt80m,frames_within_20m_rate,frames_within_40m_rate,frames_within_80m_rate,first_crossing_gt10m_distance_m,first_crossing_gt20m_distance_m,first_crossing_gt40m_distance_m,first_crossing_gt80m_distance_m,events,initializations,relocalizations,true_events_eval_only,false_events_eval_only,dangerous_false_events_gt100m_eval_only,events_improving_error,events_worsening_error,median_error_improvement_m,median_true_event_improvement_m_eval_only,median_false_event_improvement_m_eval_only,maximum_false_event_worsening_m_eval_only,maximum_fix_error_consistency_delta_m,rmse_m_delta_vs_relative,rmse_m_relative_change_fraction,mean_error_m_delta_vs_relative,mean_error_m_relative_change_fraction,median_error_m_delta_vs_relative,median_error_m_relative_change_fraction,p95_error_m_delta_vs_relative,p95_error_m_relative_change_fraction,max_error_m_delta_vs_relative,max_error_m_relative_change_fraction,final_error_m_delta_vs_relative,final_error_m_relative_change_fraction,final_drift_per_100m_delta_vs_relative,final_drift_per_100m_relative_change_fraction,failure_rate_gt40m_delta_vs_relative,failure_rate_gt40m_relative_change_fraction,accept_column,accepted,true_accepts_eval_only,false_accepts_eval_only,dangerous_false_accepts_gt100m_eval_only,precision_eval_only,median_accepted_error_m_eval_only,inter_event_gap_median_m,inter_event_gap_p95_m,coverage_gap_including_boundaries_max_m
relative_only,controlled_relative_baseline_eval_replay,1034,224.66788304314616,187.44598149818913,175.3715781593059,410.88525882122366,450.89263444643063,252.5195903458014,2.344958692477288,0.8733075435203095,0.7804642166344294,0.11218568665377177,0.12669245647969052,0.21953578336557059,808.2167057980673,1257.635994026625,1435.072517395506,2161.173444317267,0,0,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
balanced_hard_reset_online,balanced_confidence_hard_reset,1034,84.55933395980519,69.43006630085203,51.4060576685684,171.54565722950204,222.48449635743995,44.06951366501606,0.40924028508247695,0.6460348162475822,0.3152804642166344,0.043520309477756286,0.3539651837524178,0.6847195357833655,0.0,0.0,632.3370364741726,2617.315098755776,33,1,32,25,8,0,23,10,6.844227028558308,8.704308538996827,-1.623775753141878,13.18127016162024,0.12315013251034657,-140.10854908334096,-0.6236251803575944,-118.0159151973371,-0.6295996011975173,-123.9655204907375,-0.7068734956477861,-239.33960159172162,-0.582497416135969,-228.40813808899068,-0.5065687940753604,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2272727272727273,-0.2602436323366556,balanced_hard_accept_online,33.0,25.0,8.0,0.0,0.7575757575757576,30.989288717602594,60.396282700639404,1015.7197036712836,3016.2109948242523
permissive_hard_reset_online,permissive_confidence_hard_reset,1034,71.21718551448251,59.04510507891289,45.648878276129224,146.6190155741101,212.64878821253183,26.659674935158808,0.24756826348486502,0.6092843326885881,0.218568665377176,0.0609284332688588,0.390715667311412,0.781431334622824,0.0,0.0,54.64278341865671,4441.0008981477895,80,1,79,52,28,1,49,31,5.878652586271459,12.3213457436993,-5.948457104410558,63.19627840155629,0.20183673648882916,-153.45069752866365,-0.683011276245454,-128.40087641927624,-0.6850020224120766,-129.7226998831767,-0.7397019588050796,-264.26624324711355,-0.6431631156719008,-238.2438462338988,-0.5283826526161716,-225.85991541064257,-0.8944253200369486,-2.0973904289924232,-0.8944253200369487,-0.2640232108317214,-0.30232558139534876,permissive_hard_accept_online,80.0,52.0,28.0,1.0,0.65,33.779378916387756,59.849059278612,473.0040405418774,976.46380744112
temporal_r40_hard_reset_online,permissive_plus_temporal_r40_hard_reset,1034,90.40367863151396,72.8384319049945,51.831663086919434,178.75010734715775,259.1297687862313,125.02556076678293,1.1610179435996764,0.6692456479690522,0.30174081237911027,0.05029013539651837,0.3307543520309478,0.6982591876208898,0.0,0.0,54.64278341865671,4302.777701748621,46,1,45,35,11,0,28,18,5.878652586271459,9.451312465344742,-11.386089349328294,28.78946560843361,0.12327710872414599,-134.2642044116322,-0.5976119176137318,-114.60754959319463,-0.6114164127562363,-123.53991507238646,-0.7044466176849019,-232.1351514740659,-0.5649634453667952,-191.76286566019934,-0.42529607052825386,-127.49402957901846,-0.5048876778408661,-1.1839407488776117,-0.5048876778408662,-0.2040618955512573,-0.23366555924695467,temporal_r40_hard_accept_online,46.0,35.0,11.0,0.0,0.7608695652173914,30.752418038978217,82.02640530848839,819.8540451758391,2471.1692568353287
temporal_r60_hard_reset_online,permissive_plus_temporal_r60_hard_reset,1034,85.73740068084867,69.32578297950401,50.76073959847605,175.99155118718798,252.08029420488464,125.02556076678293,1.1610179435996764,0.6499032882011605,0.2852998065764023,0.0609284332688588,0.35009671179883944,0.7147001934235977,0.0,0.0,54.64278341865671,4441.0008981477895,62,1,61,44,18,0,35,27,3.9564070526067123,9.077810502170784,-8.204092235129576,61.886864248653836,0.1933313064592852,-138.93048236229748,-0.6183815883270538,-118.12019851868511,-0.6301559391916132,-124.61083856082985,-0.7105532143163731,-234.89370763403568,-0.571677135139662,-198.812340241546,-0.4409305565295642,-127.49402957901846,-0.5048876778408661,-1.1839407488776117,-0.5048876778408662,-0.22340425531914898,-0.25581395348837216,temporal_r60_hard_accept_online,62.0,44.0,18.0,0.0,0.7096774193548387,32.76229740413494,59.64288494334869,864.8059870470324,1397.7268029193401
hybrid_balanced_or_r40_hard_reset_online,balanced_or_temporal_r40_hard_reset,1034,73.70461941041218,60.25980275813431,46.47421206710411,158.04325120124537,220.2964300521376,44.06951366501606,0.40924028508247695,0.5957446808510638,0.2127659574468085,0.06673114119922631,0.40425531914893614,0.7872340425531915,0.0,0.0,54.64278341865671,4302.777701748621,61,1,60,45,16,0,37,24,3.0405811386075356,8.704308538996827,-5.599470760064726,29.14903989554037,0.12327710872414599,-150.96326363273397,-0.6719396719634482,-127.18617874005481,-0.678521767836797,-128.8973660922018,-0.7349957584068305,-252.8420076199783,-0.6153591597453486,-230.59620439429304,-0.511421537584885,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2775628626692457,-0.3178294573643411,hybrid_balanced_or_r40_accept_online,61.0,45.0,16.0,0.0,0.7377049180327869,32.13542616524085,59.89492930319739,524.6730559383705,2459.3095103310757
hybrid_balanced_or_r60_hard_reset_online,balanced_or_temporal_r60_hard_reset,1034,71.94588085671022,58.734492503612664,45.6287500689279,146.91236638038347,218.76886899199343,44.06951366501606,0.40924028508247695,0.5812379110251451,0.20696324951644102,0.07736943907156674,0.41876208897485495,0.793036750483559,0.0,0.0,54.64278341865671,4441.0008981477895,72,1,71,50,22,0,43,29,4.382831639922811,9.491929452218008,-5.948457104410558,61.886864248653836,0.1933313064592852,-152.72200218643593,-0.6797678427276878,-128.71148899457646,-0.6866591002155995,-129.742828090378,-0.7398167334305495,-263.97289244084016,-0.6424491674345876,-232.1237654544372,-0.5148093974509473,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2920696324951644,-0.33444075304540416,hybrid_balanced_or_r60_accept_online,72.0,50.0,22.0,0.0,0.6944444444444444,33.0656378440932,59.64288494334869,494.50879094222364,1397.7268029193401
