stride,total_pairs,ok_pairs,failed_pairs,good_pairs,medium_pairs,weak_pairs,ok_ratio,good_ratio,median_good_matches,median_inliers,median_inlier_ratio,mean_runtime_s,total_runtime_s,median_reference_distance_m,max_reference_distance_m
1,1169,1169,0,1169,0,0,1.0,1.0,1407.0,1356.0,0.9824689554419284,0.09629800523015539,112.57236811405164,0.0,0.6127862421387387
2,1168,1168,0,1168,0,0,1.0,1.0,1318.5,1238.0,0.9597799928277316,0.1358664874828532,158.69205737997254,0.0,0.6127862421387387
3,1167,1167,0,1167,0,0,1.0,1.0,1237.0,1136.0,0.9362818590704648,0.1276302339690112,148.94448304183607,0.06324036951670778,0.6127862421387387
5,1165,1165,0,1165,0,0,1.0,1.0,1098.0,979.0,0.900695134061569,0.15233798608258306,177.47375378620927,0.18001331238887106,0.6127862421387387
10,1160,1160,0,1160,0,0,1.0,1.0,857.0,729.5,0.8350641886044408,0.14257178295166373,165.38326822392992,0.3252328827509247,0.7796189585974039
