event_id,correction_source,query_identity,token0_id,source_frame_cnt,x_map_m,y_map_m,latitude_approx,longitude_approx,traveled_distance_m,error_m_eval_only,selected_metadata_source,selected_tile_id,selected_tile_variant,selected_tile_center_x_m,selected_tile_center_y_m,selected_tile_latitude,selected_tile_longitude,dino_rank,rerank_rank,orb_score,orb_good_matches,orb_inliers,orb_inlier_ratio,query_coverage,accepted,context_category,context_notes,annotation_confidence,distance_from_previous_same_source_m,distance_from_previous_any_accepted_m
T01,temporal,18,18,510,-61.92695228157285,-62.62297038647245,54.73778344828565,25.25832539631998,86.10943731265512,8.85855660408691,candidate_scores_best_row,sat_000234,512_s256,,,,,4,1.0,52.56238114425637,81,42,0.5185185185185185,,True,uncertain,,,,
P01,periodic,21,21,600,-71.89266791830647,-76.11511787167306,54.73766224626263,25.258170326517448,105.0416026319592,9.750112224517563,candidate_scores_best_row,sat_000234,512_s256,,,,,2,1.0,50.04669510182658,81,40,0.4938271604938271,,True,uncertain,,,,18.932165319304076
T02,temporal,28,28,810,-82.23198729290758,-78.63474057047762,54.737639612106825,25.258009443318272,121.71703525303381,15.036726947248123,candidate_scores_best_row,sat_000234,512_s256,,,,,2,1.0,46.54869093399442,75,37,0.4933333333333333,,True,uncertain,,,35.607597940378696,16.67543262107462
P02,periodic,34,34,989,-105.71171416434504,-107.3735493584,54.73738144699501,25.25764409107041,152.40443437276068,11.851467798442245,candidate_scores_best_row,sat_000253,512_s256,,,,,1,1.0,35.81388796474907,56,27,0.4821428571428571,,True,uncertain,,,47.36283174080148,30.687399119726862
T03,temporal,33,33,959,-104.35781696663946,-100.8007519861782,54.7374404914384,25.257665158154676,154.61931607245836,11.898210165858238,candidate_scores_best_row,sat_000253,512_s256,,,,,1,1.0,42.88111491204912,64,33,0.515625,,True,uncertain,,,32.90228081942455,2.214881699697685
P03,periodic,129,129,3837,-49.65584320378164,-396.8473099059446,54.7347810599605,25.258516338800266,605.5814929678992,8.738651200408093,candidate_scores_best_row,sat_000368,512_s256,,,,,2,1.0,41.40375338887024,68,32,0.4705882352941176,,True,uncertain,,,453.17705859513853,450.96217689544085
T04,temporal,129,129,3837,-53.747681322149965,-395.6982470029884,54.734791382168176,25.25845266845765,617.6395650615417,12.937631108854998,candidate_scores_best_row,sat_000368,512_s256,,,,,2,1.0,41.40375338887024,68,32,0.4705882352941176,,True,uncertain,,,463.02024898908337,12.058072093642522
T05,temporal,140,140,4166,-19.84580275894988,-376.43189003229634,54.73496445479754,25.258980192802696,664.9850773919588,10.954908075407044,candidate_scores_best_row,sat_000350,512_s256,,,,,4,1.0,41.95070460329944,64,32,0.5,,True,uncertain,,,47.34551233041714,47.34551233041714
P04,periodic,142,142,4226,-10.084493997028323,-350.4110405672089,54.73519820406534,25.25913208196724,678.1250418551379,17.111346648236676,candidate_scores_best_row,sat_000331,512_s256,,,,,1,1.0,43.82578155601507,62,34,0.5483870967741935,,True,uncertain,,,72.54354888723867,13.139964463179012
T06,temporal,143,143,4256,-0.6737208591050141,-350.54135368756744,54.73519703344267,25.259278516682553,698.2501421453452,5.126971137848346,candidate_scores_best_row,sat_000350,512_s256,,,,,2,1.0,55.94042148020298,76,45,0.5921052631578947,,True,uncertain,,,33.265064753386355,20.125100290207342
T07,temporal,147,147,4376,19.69876770172448,-305.02192119811707,54.73560594146196,25.259595519283604,748.1444562528068,6.2655721078241084,candidate_scores_best_row,sat_000331,512_s256,,,,,1,1.0,36.977334056063086,60,28,0.4666666666666667,,True,uncertain,,,49.89431410746158,49.89431410746158
P05,periodic,206,206,6143,105.90533972972564,-146.0914280339769,54.737033638373184,25.260936921806863,979.5883367781311,25.437572520755822,candidate_scores_best_row,sat_000257,512_s256,,,,,2,1.0,39.19094372292096,64,30,0.46875,,True,uncertain,,,301.4632949229932,231.4438805253243
P06,periodic,218,218,6503,85.0484535441243,-106.5724677244812,54.737388643233764,25.260612381819964,1029.939845879875,12.69188803551514,candidate_scores_best_row,sat_000257,512_s256,,,,,6,1.0,49.93036941645301,70,40,0.5714285714285714,,True,uncertain,,,50.351509101744,50.351509101744
T08,temporal,246,246,7342,-8.645482223426725,-42.11446744022182,54.73796767930216,25.259154473462214,1158.78593386796,17.837347965712585,candidate_scores_best_row,sat_000217,512_s256,,,,,6,1.0,34.36757958594213,67,25,0.373134328358209,,True,uncertain,,,410.64147761515324,128.84608798808495
P07,periodic,256,256,7642,-36.58511970790783,-25.20041365567053,54.73811962083247,25.25871972354305,1185.7295518916922,5.1172681936925715,candidate_scores_best_row,sat_000216,512_s256,,,,,4,1.0,40.55699615436414,73,31,0.4246575342465753,,True,uncertain,,,155.7897060118171,26.943618023732142
T09,temporal,256,256,7642,-39.49004567544336,-35.273328494882094,54.73802913429891,25.258674521942623,1195.4780891614464,7.675255068505484,candidate_scores_best_row,sat_000216,512_s256,,,,,4,1.0,40.55699615436414,73,31,0.4246575342465753,,True,uncertain,,,36.692155293486394,9.748537269754252
T10,temporal,260,260,7762,-76.35083796091999,-32.13843557645773,54.73805729552114,25.25810095592999,1235.2305517597879,6.986410886975,candidate_scores_best_row,sat_000215,512_s256,,,,,4,1.0,68.05513789214147,93,57,0.6129032258064516,,True,uncertain,,,39.75246259834148,39.75246259834148
P08,periodic,262,262,7822,-86.93883633142411,-27.2657387720809,54.73810106770128,25.25793620320411,1238.9974606396927,12.206761335525131,candidate_scores_best_row,sat_000215,512_s256,,,,,5,1.0,71.66366201568799,99,60,0.6060606060606061,,True,uncertain,,,53.267908748000536,3.766908879904804
T11,temporal,400,400,11957,-92.40999732502208,-116.64301365678008,54.73729817798046,25.25785107014535,1943.955666802307,9.844437128629334,candidate_scores_best_row,sat_000253,512_s256,,,,,6,1.0,34.83709403849999,57,26,0.4561403508771929,,True,uncertain,,,708.7251150425191,704.9582061626143
