method,rows,rmse_m,mae_m,median_error_m,p95_error_m,max_error_m,final_error_m,distance_span_m,drift_m_per_100m,failure_rate_gt_40m,success_rate_le_40m
ORB,403,18.620982279725144,16.344883127947256,12.907029773473088,37.14818578657847,37.72309651378911,31.154007666264683,1962.7266908373704,1.5872820098540186,0.0,1.0
KLT,403,101.56685532887299,81.68596764544273,65.60745345354738,232.69801025863975,357.1691185755167,55.92959042305053,1962.7266908373704,2.8495862762832727,0.890818858560794,0.10918114143920596
XFeat,403,16.54516304593877,14.379231280376345,12.107551259145435,36.329029325665594,37.037710896522405,16.032063254656357,1962.7266908373704,0.8168260680154351,0.0,1.0
