score_bin,count,score_min,score_max,score_median,success_le_40m_count,success_le_40m_percent,median_error_m,p95_error_m
"(0.612, 0.802]",68,0.6134136915206909,0.8015960454940796,0.7794662714004517,0,0.0,540.8245707234325,854.945785816518
"(0.802, 0.85]",67,0.8018444776535034,0.8499529957771301,0.8208301663398743,1,1.4925373134328357,592.7396932609979,857.3683010761819
"(0.85, 0.89]",67,0.8500460386276245,0.8904029130935669,0.866541862487793,24,35.82089552238806,44.89622674701643,974.5375360887294
"(0.89, 0.913]",67,0.8911298513412476,0.9133509397506714,0.9067171216011048,12,17.91044776119403,322.7314325639927,613.1705125288707
"(0.913, 0.925]",67,0.9137272238731384,0.9254941344261168,0.9196614027023317,34,50.74626865671642,39.18302732769638,383.57702655715065
"(0.925, 0.954]",67,0.9255894422531128,0.9535959959030152,0.9330357313156128,43,64.17910447761194,36.54364414703716,521.2524779624775
