method,rows_plotted,rmse_m,mae_m,median_error_m,p95_error_m,max_error_m,final_error_m
XFeat relative-only,403,16.54516304593877,14.379231280376345,12.107551259145435,36.329029325665594,37.037710896522405,16.032063254656357
Periodic fusion,403,13.21399645982097,11.490495744001823,10.934806084172918,25.0803551219486,28.932266541852286,15.690356909586813
Temporal-consistency fusion,403,13.521418543954178,10.42497005556082,8.047732311964177,29.96056819278585,32.914033173314834,9.092819586574324
