variant,tokens,top1_hits,top1_hit_rate,oracle_topk_hits,oracle_topk_hit_rate,median_top1_error_m,median_oracle_topk_error_m,median_first_correct_rank,mean_runtime_s,mean_satellite_candidates
v8_lab_logchroma_fused,263,21,0.07984790874524715,92,0.34980988593155893,1107.9708155629164,98.6194427799762,117.0,0.13553530725689442,8625.0
v3_green_suppressed,263,20,0.07604562737642585,89,0.33840304182509506,1253.6433749195157,106.35120291540927,165.0,0.12699652171406908,8625.0
v5_edge_magnitude,263,26,0.09885931558935361,86,0.3269961977186312,1226.1410750542486,88.38290127926265,149.0,0.11752193871559752,8625.0
v9_canny_structure,263,10,0.03802281368821293,84,0.3193916349809886,1305.0219436645154,122.31365670840175,218.0,0.11553595183920044,8625.0
