token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
111,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,1299.139834528015,False,37.855949002529584,True,50.0,37.855949002529584,111
116,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,136,1240.91268110364,False,194.04822427527995,False,,,116
117,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,142,1247.0120373767772,False,160.9416935033749,False,,,117
121,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,1287.6875838131468,False,126.62975907796915,False,,,121
126,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,139,1325.5126880668324,False,60.48177281447165,False,126.0,35.95107135992416,126
129,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,123,114.1707940176092,False,34.942808561132146,True,14.0,34.942808561132146,129
131,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,103,90.02678661403877,False,17.713301616081825,True,6.0,17.713301616081825,131
136,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,107,30.581150928753196,True,19.217471287595927,True,1.0,19.217471287595927,136
139,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,85,266.20264517644387,False,19.47232333343605,True,8.0,19.47232333343605,139
141,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,96,162.08906355937162,False,19.63179225203028,True,5.0,15.321801247105896,141
146,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,115,172.26869810260268,False,56.00854963380164,False,55.0,25.41012418520025,146
151,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,130,1835.269079116236,False,69.92626961209041,False,68.0,35.71326471701321,151
156,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,131,1164.0793210001398,False,157.49087394266832,False,,,156
161,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,110,1868.372477928893,False,797.6867457884596,False,,,161
166,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,803.5274087282285,False,223.4526147793804,False,,,166
171,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,148,3370.261768819934,False,215.23020371627132,False,,,171
