variant,tokens,top1_hits,top1_hit_rate,oracle_topk_hits,oracle_topk_hit_rate,median_top1_error_m,median_oracle_topk_error_m,median_first_correct_rank,mean_runtime_s,mean_satellite_candidates
v8_lab_logchroma_fused,40,1,0.025,7,0.175,1095.3588558035642,142.6512340444046,232.0,0.13186821937561036,8625.0
v7_log_chroma_edges,40,1,0.025,3,0.075,662.8929802743398,258.8446263741452,633.0,0.12788034677505494,8625.0
v9_canny_structure,40,0,0.0,3,0.075,1526.1090806181653,183.78703073770782,512.5,0.12731515765190124,8625.0
v6_log_chroma_clahe,40,0,0.0,3,0.075,1311.9562998757983,269.49420134459774,458.0,0.13329232335090638,8625.0
