policy,candidate_events_online,accepted,temporal_rejected_events_online,waiting_for_bootstrap_events_online,gap_too_short_events_online,true_accepts_le40_eval_only,contains_body_accepts_eval_only,false_accepts_eval_only,dangerous_false_accepts_gt100m_eval_only,precision_le40_eval_only,contains_precision_eval_only,median_accepted_error_m_eval_only,p95_accepted_error_m_eval_only,median_temporal_residual_m_online,p95_temporal_residual_m_online,inter_correction_gap_median,inter_correction_gap_p95,inter_correction_gap_max,coverage_gap_including_boundaries_max_m,first_accepted_token0_id,last_accepted_token0_id
f3_temporal_b_res30_r025_gap30_accept_online,16,5,5,0,6,5,5,0,0,1.0,1.0,30.031640801676403,37.12863692563126,27.309620132106108,65.95610721163389,269.5685565513612,558.0431622987082,594.4442604884767,707.4773629519548,18,261
f3_temporal_a_bootb_res50_r030_gap50_accept_online,64,8,13,5,38,8,8,0,0,1.0,1.0,19.689474355848795,36.13039531969241,19.06844545000439,58.62770162281602,74.77282211772217,643.0747611542117,721.9253357957216,721.9253357957216,18,400
f3_temporal_a_bootb_res50_r030_gap100_accept_online,64,5,12,5,42,5,5,0,0,1.0,1.0,22.13996913665416,35.159205997373995,19.731422331517425,65.95330920495772,478.8440294829968,736.5533791643911,774.8266628338565,774.8266628338565,18,400
f3_temporal_a_bootb_res50_r030_gap30_accept_online,64,11,12,5,36,10,11,1,0,0.9090909090909091,1.0,27.65552951449422,39.92119113586103,22.666602770251053,57.449845316193915,37.94708974696806,589.4278537202803,703.2635863724461,703.2635863724461,18,400
f3_temporal_a_bootb_res30_r025_gap30_accept_online,64,7,27,5,25,6,7,1,0,0.8571428571428571,1.0,22.13996913665416,39.75087407319286,22.266390286177632,57.89715503387518,257.79712169867565,657.3655493720232,703.2635863724461,703.2635863724461,18,400
f3_temporal_a_bootb_res30_r025_gap50_accept_online,64,7,18,5,34,6,7,1,0,0.8571428571428571,1.0,22.13996913665416,39.75087407319286,22.266390286177632,57.89715503387518,257.79712169867565,657.3655493720232,703.2635863724461,703.2635863724461,18,400
