policy,attempts_online,accepted,true_accepts_le40_eval_only,contains_body_accepts_eval_only,false_accepts_eval_only,dangerous_false_accepts_gt100m_eval_only,precision_le40_eval_only,contains_precision_eval_only,median_accepted_error_m_eval_only,p95_accepted_error_m_eval_only,inter_correction_gap_median,inter_correction_gap_p95,inter_correction_gap_max,coverage_gap_including_boundaries_max_m,first_accepted_token0_id,last_accepted_token0_id
all_reranked_accept_ablation,403.0,403,173,244,230,133,0.4292803970223325,0.6054590570719603,45.45553689299171,854.6881793454902,4.41481346481936,11.318054275877579,15.240720471654981,15.240720471654981,1,403
strict_a_accept_online,,64,40,58,24,0,0.625,0.90625,35.43018023126024,58.51695076730359,8.794795400833095,121.49111735640653,674.9447056422327,674.9447056422327,6,403
strict_b_accept_online,,16,14,16,2,0,0.875,1.0,34.36793893373087,46.763498674475706,12.005730929263336,378.37751700819547,533.8629091084113,688.49898542089,18,263
interval_50m_strict_a_accept_online,,8,6,6,2,0,0.75,0.75,32.892593542816535,57.38941173162105,61.65431007506231,405.1462092031667,441.10975518530086,698.0103703843406,21,262
interval_100m_strict_a_accept_online,,4,4,4,0,0,1.0,1.0,29.29151701565121,38.16480427927978,424.15867982261705,507.32561448133896,516.5663849989747,716.8178661511035,20,260
interval_200m_strict_a_accept_online,,3,3,3,0,0,1.0,1.0,27.627666146176967,33.883277298354,306.4645014029022,395.79603674259334,405.72176289144795,735.4796155743791,130,258
interval_400m_strict_a_accept_online,,1,1,1,0,0,1.0,1.0,30.031640801676403,30.031640801676403,,,,1218.2610733781792,257,257
oracle_hit40_accept_eval_only,173.0,173,173,173,0,0,1.0,1.0,25.31943740153209,38.38745353526772,7.635934516882618,43.64405857901495,210.93422259219847,210.93422259219847,1,402
