policy,alpha,accepted_corrections,true_accepted_le40_eval_only,false_accepted_eval_only,dangerous_accepted_gt100m_eval_only,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,evaluation_distance_m,final_drift_per_100m
interval_200m_strict_a_accept_online,0.25,3,3,0,0,20.89729352426827,18.51230210604971,13.522403027755608,41.64136405001442,42.35157195504795,13.121470213892643,1704.9826649748272,0.7695955204381136
strict_a_accept_online,0.75,64,40,24,0,21.55297909359379,19.141131544436153,15.47164193432812,38.70251901436035,63.55000992734047,35.68767275831069,1704.9826649748272,2.093139918160845
oracle_hit40_accept_eval_only,0.75,173,173,0,0,21.591778434450326,20.555432857325663,20.558699606147112,31.594297529475465,36.89557188590778,12.838775716189526,1704.9826649748272,0.753015029415509
interval_50m_strict_a_accept_online,0.5,8,6,2,0,21.757218536717996,19.220613125158014,23.178475569047208,30.90437452088255,35.2424400204266,29.379938172616242,1704.9826649748272,1.7231810490606962
interval_100m_strict_a_accept_online,0.25,4,4,0,0,23.353250995342325,20.777254446503196,16.11928127701553,44.87980768137472,46.36280084683731,12.36083826304419,1704.9826649748272,0.7249832222327427
interval_400m_strict_a_accept_online,0.5,1,1,0,0,23.76036728454309,18.49909759054661,12.094518066289492,46.24399622581109,47.02911970509698,5.100457323367763,1704.9826649748272,0.29915009859898295
oracle_hit40_accept_eval_only,1.0,173,173,0,0,23.79439699049437,22.528185302743793,21.60513678554413,36.79487728319061,41.847127920047264,11.334898769039066,1704.9826649748272,0.6648102061029704
interval_100m_strict_a_accept_online,0.75,4,4,0,0,24.585063564559025,23.258387219918358,21.22533927675388,43.350323309734904,44.20585468476318,20.663542457057105,1704.9826649748272,1.2119502961258664
interval_400m_strict_a_accept_online,0.75,1,1,0,0,24.821652158939134,21.081806216277503,14.05822319368729,46.24399622581109,47.02911970509698,15.507719372747388,1704.9826649748272,0.9095529058048427
interval_200m_strict_a_accept_online,0.75,3,3,0,0,25.04850224215879,22.65545829588893,27.709802941830603,39.28569624572392,40.659512204054444,33.9109582023955,1704.9826649748272,1.9889327263568495
strict_a_accept_online,1.0,64,40,24,0,25.841363431768468,24.107302086123624,21.07318651735941,42.96030622078301,73.08185141946257,50.86227616237985,1704.9826649748272,2.983155031850766
interval_50m_strict_a_accept_online,0.75,8,6,2,0,28.006901650193868,25.56176482918271,30.879906522657205,37.877372954027855,47.82279379099142,33.72362123707278,1704.9826649748272,1.977945109346357
interval_400m_strict_a_accept_online,0.25,1,1,0,0,28.026789151356574,25.69474035771555,24.320514432701376,46.24399622581109,47.02911970509698,21.62815359133346,1704.9826649748272,1.2685263044391588
interval_200m_strict_a_accept_online,1.0,3,3,0,0,29.33025253532147,27.17954315536009,28.85487582209349,40.58740885998084,42.33184472674481,40.0726251442324,1704.9826649748272,2.3503244911187435
interval_400m_strict_a_accept_online,1.0,1,1,0,0,30.662338419363003,28.513479233702196,30.03331801917559,46.24399622581109,47.02911970509698,33.334683341520986,1704.9826649748272,1.9551332706372793
interval_100m_strict_a_accept_online,1.0,4,4,0,0,31.556866549422548,30.975611579136423,31.690200477576035,41.015960796300114,46.29056110236256,31.823879988640392,1704.9826649748272,1.8665222023890928
interval_50m_strict_a_accept_online,1.0,8,6,2,0,34.973598057520476,32.64382582300413,35.037962143791354,53.07715548569725,61.39477198745648,36.71458836059297,1704.9826649748272,2.153370184625017
no_correction_baseline,0.0,0,0,0,0,35.76243819727629,33.17390450064992,40.46382567631157,46.24399622581109,47.02911970509698,39.569893211030156,1704.9826649748272,2.32083844744629
all_reranked_accept_ablation,0.25,403,173,230,133,293.9409013240953,194.1745814316877,83.72854835148371,678.8837977804473,876.9173853042992,12.18243364457287,1704.9826649748272,0.7145195018597291
all_reranked_accept_ablation,0.5,403,173,230,133,328.6774361260798,209.52443213803107,53.379512393972306,752.8183012375949,1012.365457592957,25.838893656524807,1704.9826649748272,1.5154930420894512
all_reranked_accept_ablation,0.75,403,173,230,133,356.8831632404537,221.5270217262337,48.05495305791544,818.7172878709903,1047.374151973319,37.84779733594764,1704.9826649748272,2.2198347299036283
all_reranked_accept_ablation,1.0,403,173,230,133,390.7719854288208,237.33847474773313,44.27347259804545,866.4826358452909,1078.117621921084,50.86227616237985,1704.9826649748272,2.983155031850766
