variant,frames,keypoint_count_mean,keypoint_count_median,grid_occupancy_mean,concentration_mean,green_texture_ratio_mean,mean_response_mean,overlap_with_gray_mean,overlap_with_luma_mean
V0_gray,20,1200.0,1200.0,0.771875,0.12037499999999998,0.002,0.0007212203134258743,1.0,0.9952500000000001
V1_luma,20,1200.0,1200.0,0.7708333333333333,0.11979166666666667,0.0020416666666666665,0.000720748325693421,0.9941666666666666,1.0
V2_clahe_luma,20,1200.0,1200.0,0.8114583333333334,0.11329166666666665,0.0025833333333333333,0.002531593869207427,0.7974166666666667,0.7980416666666666
V3_bilateral_clahe,20,1200.0,1200.0,0.7864583333333333,0.11370833333333334,0.00225,0.0019466481520794333,0.8157916666666667,0.8168749999999999
V4_bilateral_alt_clahe,20,1200.0,1200.0,0.7739583333333333,0.1095,0.0021666666666666666,0.0010449164677993395,0.9227916666666667,0.9244999999999999
